"Kolya (1996)"   "196"   "3" 
"L.A. Confidential (1997)"   "186"   "3" 
"Heavyweights (1994)"   "22"   "1" 
"Legends of the Fall (1994)"   "244"   "2" 
"Jackie Brown (1997)"   "166"   "1" 
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"   "298"   "4" 
"Hunt for Red October, The (1990)"   "115"   "2" 
"Jungle Book, The (1994)"   "253"   "5" 
"Grease (1978)"   "305"   "3" 
"Remains of the Day, The (1993)"   "6"   "3" 
"Men in Black (1997)"   "62"   "2" 
"Romy and Michele's High School Reunion (1997)"   "286"   "5" 
"Star Trek: First Contact (1996)"   "200"   "5" 
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"   "210"   "3" 
"Batman Forever (1995)"   "224"   "3" 
"Only You (1994)"   "303"   "3" 
"Age of Innocence, The (1993)"   "122"   "5" 
"Sabrina (1995)"   "194"   "2" 
"Just Cause (1995)"   "291"   "4" 
"Endless Summer 2, The (1994)"   "234"   "2" 
"Man Without a Face, The (1993)"   "119"   "4" 
"Sabrina (1954)"   "167"   "4" 
"Die Hard (1988)"   "299"   "4" 
"Twister (1996)"   "291"   "2" 
"Toy Story (1995)"   "308"   "4" 
"Broken Arrow (1996)"   "95"   "2" 
"Aladdin (1992)"   "38"   "5" 
"Casper (1995)"   "102"   "2" 
"Restoration (1995)"   "63"   "4" 
"Jaws (1975)"   "160"   "5" 
"Chasing Amy (1997)"   "50"   "3" 
"Silence of the Lambs, The (1991)"   "301"   "4" 
"Right Stuff, The (1983)"   "225"   "4" 
"Sleepless in Seattle (1993)"   "290"   "4" 
"Sting, The (1973)"   "97"   "3" 
"Sabrina (1995)"   "157"   "4" 
"Curdled (1996)"   "181"   "1" 
"Rear Window (1954)"   "278"   "5" 
"Speechless (1994)"   "276"   "1" 
"Crumb (1994)"   "7"   "4" 
"French Twist (Gazon maudit) (1995)"   "10"   "4" 
"Fly Away Home (1996)"   "284"   "4" 
"Trigger Effect, The (1996)"   "201"   "2" 
"Tales from the Hood (1995)"   "276"   "3" 
"Cop Land (1997)"   "287"   "5" 
"Evil Dead II (1987)"   "246"   "5" 
"Beautiful Thing (1996)"   "242"   "5" 
"Last of the Mohicans, The (1992)"   "249"   "5" 
"Get Shorty (1995)"   "99"   "5" 
"Kiss the Girls (1997)"   "178"   "3" 
"Fargo (1996)"   "251"   "4" 
"Fantasia (1940)"   "81"   "2" 
"Murder at 1600 (1997)"   "260"   "4" 
"Return of the Jedi (1983)"   "25"   "5" 
"Dead Poets Society (1989)"   "59"   "5" 
"Conan the Barbarian (1981)"   "72"   "2" 
"Naked Gun 33 1/3: The Final Insult (1994)"   "87"   "4" 
"Sound of Music, The (1965)"   "290"   "5" 
"E.T. the Extra-Terrestrial (1982)"   "42"   "5" 
"Boot, Das (1981)"   "292"   "4" 
"Angels and Insects (1995)"   "115"   "3" 
"Scream (1996)"   "20"   "1" 
"Nightmare on Elm Street, A (1984)"   "201"   "4" 
"Ben-Hur (1959)"   "13"   "3" 
"City of Lost Children, The (1995)"   "246"   "4" 
"Brothers McMullen, The (1995)"   "138"   "5" 
"Young Guns (1988)"   "167"   "1" 
"To Kill a Mockingbird (1962)"   "60"   "5" 
"Fly Away Home (1996)"   "57"   "5" 
"Sabrina (1995)"   "223"   "4" 
"Wings of Desire (1987)"   "189"   "4" 
"Mr. Holland's Opus (1995)"   "243"   "3" 
"House Arrest (1996)"   "92"   "1" 
"Old Yeller (1957)"   "246"   "3" 
"Jean de Florette (1986)"   "194"   "4" 
"Seven Years in Tibet (1997)"   "241"   "2" 
"Grosse Pointe Blank (1997)"   "178"   "4" 
"That Darn Cat! (1965)"   "254"   "3" 
"Copycat (1995)"   "293"   "3" 
"Star Trek III: The Search for Spock (1984)"   "127"   "5" 
"Jerry Maguire (1996)"   "225"   "5" 
"Star Trek III: The Search for Spock (1984)"   "299"   "3" 
"North by Northwest (1959)"   "225"   "5" 
"Outbreak (1995)"   "276"   "3" 
"Die Hard (1988)"   "291"   "5" 
"Dangerous Minds (1995)"   "222"   "4" 
"Miller's Crossing (1990)"   "267"   "5" 
"Batman (1989)"   "42"   "3" 
"Truth About Cats & Dogs, The (1996)"   "11"   "4" 
"Sword in the Stone, The (1963)"   "95"   "4" 
"Bean (1997)"   "8"   "4" 
"Birdcage, The (1996)"   "162"   "4" 
"Con Air (1997)"   "87"   "4" 
"Monty Python's Life of Brian (1979)"   "279"   "5" 
"Sense and Sensibility (1995)"   "145"   "2" 
"Backbeat (1993)"   "119"   "5" 
"African Queen, The (1951)"   "62"   "4" 
"Adventures of Priscilla, Queen of the Desert, The (1994)"   "62"   "3" 
"This Is Spinal Tap (1984)"   "28"   "4" 
"Taxi Driver (1976)"   "135"   "4" 
"Liar Liar (1997)"   "32"   "3" 
"Adventures of Priscilla, Queen of the Desert, The (1994)"   "90"   "5" 
